doc_date,source,wheel,tp_num,rec_num,sample_id,osg_num,fm_u,fm_corr,ext_err,int_err,doc_co2_yield,doc_co2_recombust,total_umols_co2,ug_C_recomb,doc_num,wheel_id,blank_sdev,blank_ave,blank_err,num,error_multiplier,comments,c1blank_fm,c1blank_fmerr,blank_fm,blank_fm_err,umols_samp,t_umols,doc_rx_samp_dil,doc_rx_empty,doc_rx_samp,doc_dil_factor,doc_delta_c13,doc_comments,mg_dissolved,exp_mg_C,yield,flag
12/8/2008 14:15:45:33,ams_results,H424,113712,64052,KHP DOC blank,77034,0.02038304187708718,0.0179726576088996,0.000728327836941298,0.0005584114702560171,42.47234344482422,,42472.34344482422,,107,H424,7.93013930864682E-16,2.91323636363636E-15,4.03308988054056E-17,11,,,,,,,,,1380,524.23,1380,1,-25.94799995422363,"SN, pre-UV 3 hr",,0.0540134,94.45,
12/11/2008 14:29:02:03,ams_results,H424,113709,34149,Oxalic Acid II granules (SRM 4990 C HOxI,77036,1.300581108213721,1.30119771820404,0.00334066987510563,0.00504963290059555,58.08954238891602,,58089.54238891602,,110,H424,7.93013930864682E-16,2.91323636363636E-15,4.03308988054056E-17,11,,,,,,,,,1380,524.23,1380,1,-17.9689998626709,SN pre-uv 3 hr,,0.0697413,100.04,
12/12/2008 14:26:20:11,ams_results,H424,113710,34149,Oxalic Acid II granules (SRM 4990 C HOxI,77035,1.240816128991174,1.24129142627862,0.00511040738210214,0.00435657825386875,49.65185546875,,49651.85546875,,109,H424,7.93013930864682E-16,2.91323636363636E-15,4.03308988054056E-17,11,,,,,,,,,1380,524.23,1380,1,-18.32799911499023,SN pre-uv 3 hr,,0.0598327,99.67,
3/24/2009 13:57:21:92,ams_results,A637,115519,52092,OXII crystals (OXII05),79219,1.312609428624598,1.31307150086077,0.00323553717939736,0.00398668026097112,77.49959564208984,,77499.59564208984,,119,A637,4.81202116862267E-16,2.08825E-15,2.30835660936655E-17,12,,,,,,,,,1380,524.23,1380,1,-17.81500053405762,,,0.09813325,94.86,
4/1/2009 11:23:20:147,ams_results,A637,115523,64052,KHP DOC blank,79224,0.03133864631470848,0.0296305602154128,0.0008075804910527131,0.000577992028875048,70.87451171875,,70874.51171875,,125,A637,4.81202116862267E-16,2.08825E-15,2.30835660936655E-17,12,,,,,,,,,1380,524.23,1380,1,-27.72299957275391,,,0.1121672,75.89,1
4/22/2009 11:36:50:037,ams_results,A640,116176,64052,KHP DOC blank,79771,0.03152155729061723,0.0294291189861311,0.000404708800904945,0.000586809830457188,46.94244766235352,,46942.44766235352,,133,A640,2.8779655061424E-16,2.55763636363636E-15,2.7614128749406E-17,11,,,,,,,,,1380,524.23,1380,1,-25.99099922180176,,,0.06121205,92.11,
5/29/2009 10:48:02:94,ams_results,B605,117548,52092,OXII crystals (OXII05),81050,1.306671644375781,1.30708013932556,0.00323730426910493,0.004969580557472,117.593994140625,,117593.994140625,,134,B605,8.44533958549245E-16,1.8875E-15,2.87729528069357E-17,15,,,,,,,,,,,,,-17.93099975585938,,,0.14173109,99.66,
6/8/2009 10:50:52:543,ams_results,B605,117549,52092,OXII crystals (OXII05),81051,1.316690902013942,1.31711473323579,0.00210342119930094,0.00456971508803811,126.3526153564453,,126352.6153564453,,135,B605,8.44533958549245E-16,1.8875E-15,2.87729528069357E-17,15,,,,,,,,,1349.49,524.23,1349.49,1,-18.0620002746582,no pre-UV,,0.15419306,98.42,
6/9/2009 10:56:52:777,ams_results,B605,117550,64052,KHP DOC blank,81052,0.02504211198710732,0.0234888429109895,0.00068297166604076,0.000580099489185997,99.64546966552734,,99645.46966552734,,136,B605,8.44533958549245E-16,1.8875E-15,2.87729528069357E-17,15,,,,,,,,,1292.17,524.23,1292.17,1,-28.97900009155273,,,0.175967,68.02,1
6/10/2009 11:01:19:99,ams_results,B605,117551,52092,OXII crystals (OXII05),81053,1.305064335043354,1.30547036971772,0.00182202188760504,0.00539334115133137,144.3843078613281,,144384.3078613281,,137,B605,8.44533958549245E-16,1.8875E-15,2.87729528069357E-17,15,,,,,,,,,1344.3,524.23,1344.3,1,-17.90399932861328,,,0.17816425,97.34,
